"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"05/22/2021","AQS","380150003","1","2.3","ppb","2","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/23/2021","AQS","380150003","1","4.9","ppb","4","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/24/2021","AQS","380150003","1","9.9","ppb","8","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/25/2021","AQS","380150003","1","5.9","ppb","5","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/26/2021","AQS","380150003","1","3.7","ppb","3","BISMARCK RESIDENTIAL","21","88.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/27/2021","AQS","380150003","1","6.3","ppb","6","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/28/2021","AQS","380150003","1","7","ppb","7","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/29/2021","AQS","380150003","1","7.2","ppb","7","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/30/2021","AQS","380150003","1","5.5","ppb","5","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"05/31/2021","AQS","380150003","1","12.2","ppb","11","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/01/2021","AQS","380150003","1","9.9","ppb","8","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/02/2021","AQS","380150003","1","12.6","ppb","11","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/03/2021","AQS","380150003","1","25.4","ppb","24","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/04/2021","AQS","380150003","1","15.3","ppb","14","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/05/2021","AQS","380150003","1","15","ppb","14","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
